level,region,province,name,assets,liabilities,equity,revenue,expenses,net_assistance_subsidy,surplus_deficit,cash_begin,net_cash,cash_end
municipality,CAR,Kalinga,Sub-Total,4000050,839794,3160256,1264029,1047974,7784,223838,1015616,154041,1169657
municipality,CAR,Mt. Province,Sub-Total,4001891,1622394,2379497,1510196,1457982,-20181,32033,873047,275925,1148973
municipality,CAR,Mt. Province,Regional Total,49121157,6848657,42272500,13572454,11147525,154055,2578983,7885420,1397681,9283101
municipality,Region I,Ilocos Norte,Sub-Total,19614971,3441276,16173695,7023219,3991223,-114109,2917887,5193970,1645438,6839408
municipality,Region I,Ilocos Sur,Sub-Total,64048830,5962777,58086054,18105745,7048932,-40561,11016252,11868781,6106488,17975269
municipality,Region I,La Union,Sub-Total,22506705,3086312,19420394,6421838,4225033,205802,2402607,4765486,1232553,5998039
municipality,Region I,Pangasinan,Sub-total,39662231,7604878,32057353,13110831,11189490,-239448,1681893,6126959,902619,7029578
municipality,Region I,Pangasinan,Regional Total,145832737,20095242,125737495,44661633,26454678,-188316,18018639,27955197,9887097,37842294
municipality,Region II,Batanes,Sub-Total,1145357,396837,748521,447619,422906,15537,40249,466039,-41142,424897
municipality,Region II,Cagayan,Sub-Total,20309374,4553447,15755928,7051564,6536613,-170936,344015,4302053,234116,4536169
municipality,Region II,Isabela,Sub-Total,32891153,8150665,24740488,10262840,8403181,114235,1973893,5126706,256754,5383460
municipality,Region II,Isabela,Sub-Total,11094981,2126978,8968003,4018546,3334006,29889,714429,2825929,204347,3030276
